EntryID,SignFrequency(M),SignType,SelectedFingers,Flexion,MajorLocation,Movement
match,4.111,SymmetricalOrAlternating,imrp,2,Neutral,Straight
far,4.115,AsymmetricalSameHandshape,imrp,7,Hand,Curved
baseball,4.12,SymmetricalOrAlternating,imrp,7,Neutral,BackAndForth
accident,4.12,SymmetricalOrAlternating,imrp,1,Neutral,Straight
napkin,4.13,OneHanded,imrp,1,Head,Circular
doctor,4.13,AsymmetricalDifferentHandshape,imrp,4,Hand,BackAndForth
jacket,4.133,SymmetricalOrAlternating,imrp,7,Body,Curved
pity,4.133,SymmetricalOrAlternating,m,3,Neutral,Circular
music,4.133,AsymmetricalSameHandshape,imrp,1,Arm,BackAndForth
cousin,4.133,OneHanded,imrp,5,Head,None
fat,4.133,SymmetricalOrAlternating,imrp,1,Neutral,Curved
9_oclock,4.133,OneHanded,i,6,Hand,None
west,4.154,OneHanded,imr,1,Neutral,Straight
set_up,4.16,AsymmetricalDifferentHandshape,thumb,1,Hand,Circular
research,4.16,AsymmetricalDifferentHandshape,im,Crossed,Hand,Circular
neutral,4.167,OneHanded,im,4,Neutral,BackAndForth
corn_1,4.185,OneHanded,i,1,Head,BackAndForth
toast,4.185,AsymmetricalDifferentHandshape,im,5,Hand,Curved
zero,4.192,OneHanded,imrp,6,Neutral,Straight
wood,4.2,AsymmetricalSameHandshape,imrp,1,Hand,BackAndForth
bridge,4.2,AsymmetricalDifferentHandshape,im,1,Arm,Curved
behind,4.2,AsymmetricalSameHandshape,thumb,1,Hand,Circular
secret,4.2,OneHanded,thumb,1,Head,BackAndForth
awkward,4.2,SymmetricalOrAlternating,im,1,Neutral,BackAndForth
gallaudet,4.2,OneHanded,i,3,Head,BackAndForth
earn,4.207,AsymmetricalDifferentHandshape,imrp,5,Hand,Curved
chance,4.208,SymmetricalOrAlternating,imrp,5,Neutral,Curved
gossip,4.222,SymmetricalOrAlternating,i,3,Head,Circular
sympathy,4.222,SymmetricalOrAlternating,m,3,Neutral,Circular
mountain,4.226,SymmetricalOrAlternating,imrp,7,Neutral,Straight
forbid,4.231,AsymmetricalDifferentHandshape,i,1,Hand,BackAndForth
elegance,4.231,OneHanded,imrp,1,Body,Circular
decide_1,4.24,Other,i,1,Head,None
secretary,4.24,AsymmetricalDifferentHandshape,im,Stacked,Head,Other
graduate,4.24,AsymmetricalDifferentHandshape,i,3,Hand,Circular
because,4.24,OneHanded,imrp,1,Head,Curved
front,4.241,OneHanded,imrp,1,Head,BackAndForth
policeman,4.258,OneHanded,i,5,Body,BackAndForth
nut,4.259,OneHanded,thumb,1,Head,BackAndForth
8_hour,4.267,AsymmetricalDifferentHandshape,m,6,Hand,Circular
excuse,4.269,AsymmetricalDifferentHandshape,imrp,3,Hand,BackAndForth
sushi,4.269,AsymmetricalDifferentHandshape,im,1,Hand,BackAndForth
clear,4.269,SymmetricalOrAlternating,imrp,6,Neutral,Straight
past,4.276,OneHanded,imrp,1,Body,Curved
knife,4.28,AsymmetricalSameHandshape,i,1,Hand,BackAndForth
garage,4.28,AsymmetricalDifferentHandshape,im,1,Neutral,BackAndForth
act,4.28,SymmetricalOrAlternating,thumb,1,Body,Circular
translate,4.296,SymmetricalOrAlternating,i,1,Neutral,None
pencil,4.296,OneHanded,i,6,Head,Other
oral,4.3,OneHanded,im,2,Head,Circular
leave,4.32,SymmetricalOrAlternating,imrp,1,Neutral,Straight
stars,4.323,SymmetricalOrAlternating,i,1,Neutral,BackAndForth
moon,4.323,OneHanded,i,5,Head,Curved
dormitory,4.323,OneHanded,mrp,6,Head,Curved
sports,4.333,SymmetricalOrAlternating,thumb,1,Neutral,None
grapes,4.333,AsymmetricalDifferentHandshape,imrp,2,Hand,BackAndForth
bake_1,4.333,AsymmetricalSameHandshape,imrp,1,Neutral,BackAndForth
zoom_off,4.333,AsymmetricalDifferentHandshape,i,3,Hand,Straight
voice,4.333,OneHanded,im,3,Body,Circular
religion,4.333,OneHanded,im,Crossed,Body,Curved
breakdown,4.333,SymmetricalOrAlternating,imrp,5,Neutral,Other
drop,4.333,SymmetricalOrAlternating,imrp,7,Neutral,Straight
