EntryID,SignFrequency(M),SelectedFingers,Flexion,Movement
mountain,4.226,imrp,7,Straight
forbid,4.231,i,1,BackAndForth
elegance,4.231,imrp,1,Circular
decide_1,4.24,i,1,None
secretary,4.24,im,Stacked,Other
graduate,4.24,i,3,Circular
because,4.24,imrp,1,Curved
front,4.241,imrp,1,BackAndForth
policeman,4.258,i,5,BackAndForth
nut,4.259,thumb,1,BackAndForth
8_hour,4.267,m,6,Circular
excuse,4.269,imrp,3,BackAndForth
sushi,4.269,im,1,BackAndForth
clear,4.269,imrp,6,Straight
past,4.276,imrp,1,Curved
knife,4.28,i,1,BackAndForth
garage,4.28,im,1,BackAndForth
act,4.28,thumb,1,Circular
translate,4.296,i,1,None
pencil,4.296,i,6,Other
oral,4.3,im,2,Circular
leave,4.32,imrp,1,Straight
stars,4.323,i,1,BackAndForth
moon,4.323,i,5,Curved
dormitory,4.323,mrp,6,Curved
sports,4.333,thumb,1,None
grapes,4.333,imrp,2,BackAndForth
bake_1,4.333,imrp,1,BackAndForth
zoom_off,4.333,i,3,Straight
voice,4.333,im,3,Circular
religion,4.333,im,Crossed,Curved
breakdown,4.333,imrp,5,Other
drop,4.333,imrp,7,Straight
die,4.346,imrp,1,Curved
camping,4.355,ip,1,BackAndForth
grandfather,4.36,imrp,1,Other
bug,4.36,im,1,None
invite,4.367,imrp,1,Curved
birth,4.367,imrp,1,Curved
blanket,4.375,imrp,1,BackAndForth
scared,4.4,imrp,1,BackAndForth
high,4.4,im,1,Curved
mean_1,4.4,imrp,5,Straight
alarm,4.4,i,1,BackAndForth
warm,4.4,imrp,7,None
insult,4.4,i,1,Curved
hat,4.407,imrp,1,BackAndForth
uncle,4.407,im,1,Circular
fight,4.417,imrp,7,Straight
candy_1,4.419,i,1,None
few,4.429,imrp,3,None
hamburger,4.429,i,5,Curved
scan,4.433,i,2,BackAndForth
weather,4.433,p,6,BackAndForth
film,4.44,imrp,1,None
live_1,4.44,i,1,Curved
cry,4.44,i,1,BackAndForth
actor,4.44,thumb,5,Circular
bedroom,4.444,imrp,1,None
lemon,4.452,i,1,None
president,4.462,imrp,5,Straight
order_2,4.467,i,1,Other
accomplish,4.467,i,1,Straight
pink,4.467,im,Stacked,BackAndForth
wear,4.478,imrp,1,Curved
government,4.48,i,1,Other
hospital,4.48,im,1,Other
challenge,4.48,thumb,1,Straight
shampoo,4.481,imrp,5,BackAndForth
yellow,4.481,p,1,None
waiter,4.484,imrp,1,BackAndForth
lettuce,4.484,imrp,2,BackAndForth
death,4.484,imrp,1,Curved
complex,4.5,i,1,Straight
cute_2,4.5,im,1,None
pain,4.5,i,4,None
america,4.5,imrp,1,Circular
call_attention,4.5,imrp,1,Curved
demand,4.5,i,2,Straight
city,4.5,imrp,1,Straight
grandmother,4.5,imrp,1,Other
asia,4.516,imrp,7,Circular
teeth,4.519,i,2,BackAndForth
forgetful,4.519,imrp,1,BackAndForth
introduce,4.519,imrp,3,Curved
cafeteria,4.519,imrp,5,BackAndForth
god,4.519,imrp,1,Curved
magazine,4.519,i,2,BackAndForth
type,4.52,im,Stacked,Circular
wet,4.52,imrp,3,Straight
brave,4.522,imrp,5,Straight
soda,4.533,m,3,BackAndForth
misunderstand,4.533,im,1,None
action,4.533,imrp,5,Circular
summarize,4.538,imrp,5,Straight
impossible,4.542,p,1,BackAndForth
soup,4.548,im,5,Circular
scissors,4.548,im,1,None
girl,4.552,thumb,1,Curved
tea,4.556,i,6,Circular
videocamera,4.56,imrp,3,None
fish,4.56,imrp,1,None
credit_card,4.56,imrp,7,BackAndForth
letter,4.567,thumb,1,Straight
department,4.567,mrp,6,Curved
thermometer,4.577,i,1,BackAndForth
surprise,4.583,i,6,None
mind,4.583,i,5,BackAndForth
certificate,4.583,imrp,5,BackAndForth
dream,4.583,i,1,Straight
long_line,4.593,imrp,1,Straight
order_1,4.6,imrp,1,BackAndForth
announce,4.6,i,1,Straight
owe,4.6,i,1,BackAndForth
train,4.6,im,3,BackAndForth
adult,4.6,imrp,3,Circular
imagine,4.6,p,1,Circular
teach,4.609,imrp,5,BackAndForth
continue,4.615,thumb,1,BackAndForth
wedding,4.615,imrp,3,Curved
blue,4.63,imrp,1,None
copy,4.63,imrp,3,Straight
stupid_2,4.633,i,4,None
ball,4.633,imrp,5,BackAndForth
eraser,4.633,imrp,7,BackAndForth
sun,4.633,imrp,4,Circular
travel,4.64,im,2,BackAndForth
stubborn,4.64,imrp,1,None
slow,4.64,imrp,1,Straight
own,4.64,imrp,1,Curved
english,4.645,imrp,5,BackAndForth
frenchfries,4.645,i,6,Curved
candy_2,4.654,im,1,None
weigh,4.654,im,1,BackAndForth
frustrate,4.667,imrp,1,BackAndForth
sandals,4.667,i,2,BackAndForth
look_appearance,4.68,i,1,Circular
fall_1,4.68,imrp,1,BackAndForth
offend,4.692,i,1,Curved
gay,4.692,i,4,BackAndForth
equal,4.7,imrp,4,BackAndForth
student,4.704,imrp,3,Straight
salad,4.704,imrp,5,Circular
lucky,4.704,m,5,Straight
hearing_aid,4.708,i,2,BackAndForth
machine,4.72,imrp,2,BackAndForth
health,4.72,imrp,5,Straight
class,4.72,imrp,5,None
key,4.72,i,2,None
dress,4.72,imrp,1,Curved
lamp,4.731,imrp,3,None
ignore,4.731,imrp,1,Curved
back,4.731,imrp,7,Straight
lecture,4.733,imrp,1,BackAndForth
day,4.733,i,1,Curved
bank,4.741,imrp,1,None
enough,4.741,imrp,1,Straight
test,4.741,imrp,1,BackAndForth
draw,4.741,p,1,BackAndForth
cereal,4.741,i,1,Straight
hope,4.741,i,1,None
icecream,4.741,imrp,7,Circular
evaluate,4.76,imrp,2,BackAndForth
beer,4.76,imrp,1,BackAndForth
trouble,4.76,imrp,1,Circular
art,4.767,p,1,BackAndForth
lock,4.778,imrp,7,Circular
history,4.778,im,1,BackAndForth
amazing,4.778,imrp,5,BackAndForth
minute,4.792,i,1,None
possible,4.792,imrp,7,BackAndForth
never,4.8,imrp,1,BackAndForth
camera,4.8,i,1,None
experience,4.8,imrp,1,BackAndForth
potato,4.8,im,2,BackAndForth
fault,4.8,imrp,4,Curved
north,4.8,im,4,Straight
congratulations,4.8,imrp,5,BackAndForth
airplane,4.808,ip,1,BackAndForth
impact,4.815,imrp,7,BackAndForth
mail,4.815,thumb,1,Straight
guess_2,4.815,imrp,5,Curved
honest,4.833,im,1,Straight
come,4.833,imrp,1,Curved
box,4.833,imrp,1,Other
promise,4.839,i,1,None
things,4.84,imrp,1,BackAndForth
grow,4.84,imrp,6,Straight
person,4.84,im,Stacked,Straight
tall_1,4.84,i,1,Straight
body,4.84,imrp,1,Straight
remote_control,4.84,thumb,1,None
counselor,4.84,imrp,6,BackAndForth
science,4.852,thumb,1,Circular
list,4.852,imrp,3,Other
right_2,4.862,im,Crossed,Straight
wish,4.867,imrp,5,Straight
trash,4.871,i,1,Curved
last,4.875,p,1,Straight
son,4.88,imrp,1,None
mirror,4.88,imrp,1,None
grass,4.88,imrp,2,BackAndForth
relax,4.885,imrp,1,BackAndForth
off_the_point,4.889,i,1,Straight
patient_3,4.889,thumb,1,Straight
from,4.889,i,2,Curved
address,4.889,thumb,1,Curved
guess_1,4.897,imrp,5,Curved
medicine,4.9,m,3,BackAndForth
future,4.9,imrp,1,Curved
exercise,4.9,imrp,7,BackAndForth
appear,4.9,i,1,Straight
lie,4.917,imrp,1,Straight
print,4.92,i,1,BackAndForth
purple,4.92,im,Stacked,None
vacation,4.92,thumb,3,BackAndForth
interest,4.92,m,3,Straight
flower,4.92,imrp,4,Curved
bath,4.92,thumb,1,BackAndForth
puzzled,4.92,i,1,None
salt,4.92,im,3,None
brown,4.923,imrp,1,Straight
insurance,4.926,p,1,BackAndForth
tomato,4.926,i,1,None
vegetable,4.931,im,1,None
bowl,4.933,imrp,5,Curved
summer,4.958,i,1,BackAndForth
relationship,4.96,i,6,BackAndForth
scarcely,4.96,m,3,Circular
win,4.96,imrp,5,Curved
cookie,4.96,imrp,5,None
emotion,4.96,imrp,2,Circular
angry,4.96,imrp,2,Curved
borrow,4.96,im,Stacked,Curved
young,4.962,imrp,3,Circular
orange,4.962,imrp,5,None
decide_2,4.962,i,1,None
dumb,4.963,imrp,7,Straight
library,4.963,i,1,Circular
confident,4.963,imrp,1,Straight
requirement,4.966,i,2,Straight
eyes,4.967,i,1,Curved
call,4.967,p,1,Curved
small,5.0,imrp,5,BackAndForth
strange,5.0,imrp,5,Curved
baby,5.0,imrp,1,BackAndForth
well,5.0,imrp,1,Curved
move,5.0,imrp,6,Curved
tall_2,5.0,imrp,4,Curved
expensive,5.0,imrp,4,Other
bacon,5.0,im,3,Straight
check,5.0,i,1,Other
mean_2,5.0,im,1,None
husband,5.0,imrp,5,None
with,5.033,imrp,7,Straight
appointment,5.033,imrp,5,Circular
problem_1,5.033,im,2,None
high_school,5.033,im,1,None
