EntryID,SignFrequency(M),SignType,SelectedFingers,Flexion,MajorLocation,Movement
africa,3.667,OneHanded,imrp,1,Neutral,Curved
cow,3.677,OneHanded,p,1,Head,None
pants,3.677,SymmetricalOrAlternating,imrp,1,Body,Other
hotdog,3.68,SymmetricalOrAlternating,imrp,5,Neutral,Straight
war,3.68,SymmetricalOrAlternating,imrp,3,Neutral,BackAndForth
figure,3.69,SymmetricalOrAlternating,im,1,Neutral,BackAndForth
vacuum,3.692,OneHanded,i,7,Neutral,Other
computer,3.7,SymmetricalOrAlternating,m,3,Neutral,Circular
rock,3.7,AsymmetricalSameHandshape,imrp,7,Hand,BackAndForth
embarrass,3.7,SymmetricalOrAlternating,imrp,1,Head,Circular
motorcycle,3.704,AsymmetricalSameHandshape,imrp,7,Neutral,None
shoulder,3.704,OneHanded,imrp,4,Body,BackAndForth
boat,3.704,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
floor,3.72,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
brag,3.72,SymmetricalOrAlternating,p,1,Body,BackAndForth
butterfly,3.72,SymmetricalOrAlternating,imrp,1,Neutral,None
lonely,3.72,OneHanded,i,1,Head,BackAndForth
lipstick,3.72,OneHanded,i,2,Head,BackAndForth
waste,3.724,SymmetricalOrAlternating,imrp,1,Hand,BackAndForth
line,3.733,SymmetricalOrAlternating,p,1,Neutral,Straight
brush,3.733,OneHanded,imrp,7,Head,Straight
fall_2,3.733,OneHanded,im,1,Neutral,Curved
behavior,3.741,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
glasses,3.75,SymmetricalOrAlternating,i,3,Head,BackAndForth
army,3.76,SymmetricalOrAlternating,imrp,7,Body,BackAndForth
swallow,3.76,OneHanded,i,1,Body,Curved
oops,3.769,OneHanded,imrp,1,Head,None
microwave,3.778,SymmetricalOrAlternating,imrp,7,Neutral,BackAndForth
playground,3.778,SymmetricalOrAlternating,p,1,Neutral,None
cause,3.778,SymmetricalOrAlternating,imrp,7,Neutral,Straight
pull,3.778,SymmetricalOrAlternating,imrp,7,Neutral,Straight
popcorn,3.778,SymmetricalOrAlternating,i,6,Neutral,BackAndForth
forfeit,3.8,OneHanded,i,6,Neutral,Curved
strict,3.8,OneHanded,im,2,Head,None
loud,3.808,SymmetricalOrAlternating,i,1,Head,BackAndForth
razor,3.833,OneHanded,i,2,Head,BackAndForth
freeway,3.84,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
glove,3.846,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
holiday,3.846,SymmetricalOrAlternating,thumb,3,Body,BackAndForth
light_weight,3.867,SymmetricalOrAlternating,m,3,Neutral,Curved
earring,3.867,SymmetricalOrAlternating,i,5,Head,None
shy,3.88,OneHanded,imrp,5,Head,None
whatever,3.88,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
alphabet,3.88,OneHanded,imrp,7,Neutral,None
pill,3.88,OneHanded,i,6,Head,None
after,3.88,AsymmetricalSameHandshape,imrp,1,Hand,Curved
pig,3.885,OneHanded,imrp,1,Head,None
computer_mouse,3.9,OneHanded,i,1,Head,BackAndForth
eyeglasses,3.905,SymmetricalOrAlternating,i,2,Head,BackAndForth
snob,3.92,OneHanded,ip,1,Head,Curved
horrible,3.923,SymmetricalOrAlternating,m,6,Head,Curved
friendly,3.933,SymmetricalOrAlternating,imrp,1,Head,Straight
spaghetti,3.935,SymmetricalOrAlternating,p,1,Neutral,Circular
keyboard,3.95,SymmetricalOrAlternating,imrp,5,Neutral,None
zoom_in,3.958,SymmetricalOrAlternating,i,7,Neutral,Straight
tournament,3.96,SymmetricalOrAlternating,im,2,Neutral,BackAndForth
february,3.963,OneHanded,i,6,Neutral,None
theater,3.963,SymmetricalOrAlternating,thumb,1,Body,Circular
alone,3.963,OneHanded,i,1,Neutral,Circular
drunk,3.967,OneHanded,thumb,1,Head,Curved
staff,3.967,OneHanded,imrp,7,Body,Curved
suspect,3.967,OneHanded,i,1,Head,None
deodorant,3.968,OneHanded,imrp,7,Body,BackAndForth
deny,4.0,SymmetricalOrAlternating,thumb,1,Head,BackAndForth
south,4.0,OneHanded,imrp,7,Neutral,Straight
cabbage,4.0,OneHanded,imrp,2,Head,BackAndForth
traffic,4.0,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
way,4.033,SymmetricalOrAlternating,imrp,1,Neutral,Straight
breathe,4.038,SymmetricalOrAlternating,imrp,1,Body,BackAndForth
judge,4.04,SymmetricalOrAlternating,i,6,Neutral,BackAndForth
balance,4.067,SymmetricalOrAlternating,imrp,4,Neutral,BackAndForth
paint,4.074,AsymmetricalSameHandshape,imrp,1,Hand,BackAndForth
smile,4.074,SymmetricalOrAlternating,i,1,Head,Curved
east,4.077,OneHanded,imrp,2,Neutral,Straight
bar,4.087,OneHanded,thumb,1,Head,BackAndForth
stupid_1,4.1,OneHanded,im,1,Head,Straight
worry,4.1,SymmetricalOrAlternating,imrp,1,Head,Circular
ugly,4.1,OneHanded,i,1,Head,Straight
shorts,4.1,SymmetricalOrAlternating,imrp,1,Body,BackAndForth
divorce,4.1,SymmetricalOrAlternating,i,1,Neutral,Straight
downsize_2,4.111,SymmetricalOrAlternating,i,1,Neutral,Straight
match,4.111,SymmetricalOrAlternating,imrp,2,Neutral,Straight
far,4.115,AsymmetricalSameHandshape,imrp,7,Hand,Curved
baseball,4.12,SymmetricalOrAlternating,imrp,7,Neutral,BackAndForth
accident,4.12,SymmetricalOrAlternating,imrp,1,Neutral,Straight
napkin,4.13,OneHanded,imrp,1,Head,Circular
jacket,4.133,SymmetricalOrAlternating,imrp,7,Body,Curved
pity,4.133,SymmetricalOrAlternating,m,3,Neutral,Circular
cousin,4.133,OneHanded,imrp,5,Head,None
fat,4.133,SymmetricalOrAlternating,imrp,1,Neutral,Curved
9_oclock,4.133,OneHanded,i,6,Hand,None
west,4.154,OneHanded,imr,1,Neutral,Straight
neutral,4.167,OneHanded,im,4,Neutral,BackAndForth
corn_1,4.185,OneHanded,i,1,Head,BackAndForth
zero,4.192,OneHanded,imrp,6,Neutral,Straight
wood,4.2,AsymmetricalSameHandshape,imrp,1,Hand,BackAndForth
behind,4.2,AsymmetricalSameHandshape,thumb,1,Hand,Circular
secret,4.2,OneHanded,thumb,1,Head,BackAndForth
awkward,4.2,SymmetricalOrAlternating,im,1,Neutral,BackAndForth
gallaudet,4.2,OneHanded,i,3,Head,BackAndForth
chance,4.208,SymmetricalOrAlternating,imrp,5,Neutral,Curved
gossip,4.222,SymmetricalOrAlternating,i,3,Head,Circular
sympathy,4.222,SymmetricalOrAlternating,m,3,Neutral,Circular
mountain,4.226,SymmetricalOrAlternating,imrp,7,Neutral,Straight
elegance,4.231,OneHanded,imrp,1,Body,Circular
because,4.24,OneHanded,imrp,1,Head,Curved
front,4.241,OneHanded,imrp,1,Head,BackAndForth
policeman,4.258,OneHanded,i,5,Body,BackAndForth
nut,4.259,OneHanded,thumb,1,Head,BackAndForth
clear,4.269,SymmetricalOrAlternating,imrp,6,Neutral,Straight
past,4.276,OneHanded,imrp,1,Body,Curved
knife,4.28,AsymmetricalSameHandshape,i,1,Hand,BackAndForth
act,4.28,SymmetricalOrAlternating,thumb,1,Body,Circular
translate,4.296,SymmetricalOrAlternating,i,1,Neutral,None
pencil,4.296,OneHanded,i,6,Head,Other
oral,4.3,OneHanded,im,2,Head,Circular
leave,4.32,SymmetricalOrAlternating,imrp,1,Neutral,Straight
stars,4.323,SymmetricalOrAlternating,i,1,Neutral,BackAndForth
moon,4.323,OneHanded,i,5,Head,Curved
dormitory,4.323,OneHanded,mrp,6,Head,Curved
sports,4.333,SymmetricalOrAlternating,thumb,1,Neutral,None
bake_1,4.333,AsymmetricalSameHandshape,imrp,1,Neutral,BackAndForth
voice,4.333,OneHanded,im,3,Body,Circular
religion,4.333,OneHanded,im,Crossed,Body,Curved
breakdown,4.333,SymmetricalOrAlternating,imrp,5,Neutral,Other
drop,4.333,SymmetricalOrAlternating,imrp,7,Neutral,Straight
die,4.346,SymmetricalOrAlternating,imrp,1,Neutral,Curved
camping,4.355,SymmetricalOrAlternating,ip,1,Neutral,BackAndForth
grandfather,4.36,OneHanded,imrp,1,Head,Other
bug,4.36,OneHanded,im,1,Head,None
invite,4.367,OneHanded,imrp,1,Neutral,Curved
birth,4.367,AsymmetricalSameHandshape,imrp,1,Hand,Curved
blanket,4.375,SymmetricalOrAlternating,imrp,1,Body,BackAndForth
scared,4.4,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
high,4.4,OneHanded,im,1,Neutral,Curved
mean_1,4.4,SymmetricalOrAlternating,imrp,5,Neutral,Straight
warm,4.4,OneHanded,imrp,7,Head,None
insult,4.4,OneHanded,i,1,Neutral,Curved
hat,4.407,OneHanded,imrp,1,Head,BackAndForth
uncle,4.407,OneHanded,im,1,Head,Circular
fight,4.417,SymmetricalOrAlternating,imrp,7,Neutral,Straight
candy_1,4.419,OneHanded,i,1,Head,None
few,4.429,OneHanded,imrp,3,Neutral,None
hamburger,4.429,SymmetricalOrAlternating,i,5,Neutral,Curved
weather,4.433,SymmetricalOrAlternating,p,6,Neutral,BackAndForth
live_1,4.44,SymmetricalOrAlternating,i,1,Body,Curved
cry,4.44,SymmetricalOrAlternating,i,1,Head,BackAndForth
actor,4.44,SymmetricalOrAlternating,thumb,5,Body,Circular
bedroom,4.444,SymmetricalOrAlternating,imrp,1,Head,None
lemon,4.452,OneHanded,i,1,Head,None
president,4.462,SymmetricalOrAlternating,imrp,5,Head,Straight
order_2,4.467,OneHanded,i,1,Head,Other
accomplish,4.467,SymmetricalOrAlternating,i,1,Head,Straight
pink,4.467,OneHanded,im,Stacked,Head,BackAndForth
wear,4.478,SymmetricalOrAlternating,imrp,1,Body,Curved
government,4.48,OneHanded,i,1,Head,Other
challenge,4.48,SymmetricalOrAlternating,thumb,1,Neutral,Straight
shampoo,4.481,SymmetricalOrAlternating,imrp,5,Head,BackAndForth
yellow,4.481,OneHanded,p,1,Neutral,None
waiter,4.484,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
lettuce,4.484,OneHanded,imrp,2,Head,BackAndForth
death,4.484,SymmetricalOrAlternating,imrp,1,Neutral,Curved
complex,4.5,SymmetricalOrAlternating,i,1,Neutral,Straight
cute_2,4.5,OneHanded,im,1,Head,None
pain,4.5,SymmetricalOrAlternating,i,4,Neutral,None
america,4.5,SymmetricalOrAlternating,imrp,1,Neutral,Circular
city,4.5,SymmetricalOrAlternating,imrp,1,Neutral,Straight
grandmother,4.5,OneHanded,imrp,1,Head,Other
asia,4.516,OneHanded,imrp,7,Neutral,Circular
teeth,4.519,OneHanded,i,2,Head,BackAndForth
forgetful,4.519,OneHanded,imrp,1,Head,BackAndForth
introduce,4.519,SymmetricalOrAlternating,imrp,3,Neutral,Curved
cafeteria,4.519,OneHanded,imrp,5,Head,BackAndForth
god,4.519,OneHanded,imrp,1,Neutral,Curved
type,4.52,SymmetricalOrAlternating,im,Stacked,Neutral,Circular
wet,4.52,SymmetricalOrAlternating,imrp,3,Neutral,Straight
brave,4.522,SymmetricalOrAlternating,imrp,5,Body,Straight
misunderstand,4.533,OneHanded,im,1,Head,None
action,4.533,SymmetricalOrAlternating,imrp,5,Neutral,Circular
summarize,4.538,SymmetricalOrAlternating,imrp,5,Neutral,Straight
scissors,4.548,OneHanded,im,1,Neutral,None
girl,4.552,OneHanded,thumb,1,Head,Curved
fish,4.56,AsymmetricalSameHandshape,imrp,1,Hand,None
letter,4.567,AsymmetricalSameHandshape,thumb,1,Head,Straight
department,4.567,SymmetricalOrAlternating,mrp,6,Neutral,Curved
thermometer,4.577,AsymmetricalSameHandshape,i,1,Hand,BackAndForth
surprise,4.583,SymmetricalOrAlternating,i,6,Head,None
mind,4.583,OneHanded,i,5,Head,BackAndForth
certificate,4.583,SymmetricalOrAlternating,imrp,5,Neutral,BackAndForth
dream,4.583,OneHanded,i,1,Head,Straight
long_line,4.593,SymmetricalOrAlternating,imrp,1,Neutral,Straight
order_1,4.6,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
announce,4.6,SymmetricalOrAlternating,i,1,Head,Straight
train,4.6,AsymmetricalSameHandshape,im,3,Hand,BackAndForth
adult,4.6,SymmetricalOrAlternating,imrp,3,Head,Circular
imagine,4.6,SymmetricalOrAlternating,p,1,Head,Circular
teach,4.609,SymmetricalOrAlternating,imrp,5,Head,BackAndForth
continue,4.615,SymmetricalOrAlternating,thumb,1,Neutral,BackAndForth
wedding,4.615,SymmetricalOrAlternating,imrp,3,Neutral,Curved
blue,4.63,OneHanded,imrp,1,Neutral,None
stupid_2,4.633,OneHanded,i,4,Head,None
ball,4.633,SymmetricalOrAlternating,imrp,5,Neutral,BackAndForth
sun,4.633,OneHanded,imrp,4,Head,Circular
travel,4.64,OneHanded,im,2,Neutral,BackAndForth
stubborn,4.64,OneHanded,imrp,1,Head,None
slow,4.64,AsymmetricalSameHandshape,imrp,1,Hand,Straight
own,4.64,SymmetricalOrAlternating,imrp,1,Body,Curved
english,4.645,AsymmetricalSameHandshape,imrp,5,Hand,BackAndForth
frenchfries,4.645,OneHanded,i,6,Neutral,Curved
candy_2,4.654,OneHanded,im,1,Head,None
frustrate,4.667,OneHanded,imrp,1,Head,BackAndForth
look_appearance,4.68,OneHanded,i,1,Head,Circular
offend,4.692,OneHanded,i,1,Neutral,Curved
gay,4.692,OneHanded,i,4,Head,BackAndForth
equal,4.7,SymmetricalOrAlternating,imrp,4,Neutral,BackAndForth
salad,4.704,SymmetricalOrAlternating,imrp,5,Neutral,Circular
lucky,4.704,OneHanded,m,5,Head,Straight
hearing_aid,4.708,OneHanded,i,2,Head,BackAndForth
machine,4.72,SymmetricalOrAlternating,imrp,2,Neutral,BackAndForth
health,4.72,SymmetricalOrAlternating,imrp,5,Body,Straight
class,4.72,SymmetricalOrAlternating,imrp,5,Neutral,None
dress,4.72,SymmetricalOrAlternating,imrp,1,Body,Curved
lamp,4.731,SymmetricalOrAlternating,imrp,3,Neutral,None
ignore,4.731,OneHanded,imrp,1,Head,Curved
back,4.731,OneHanded,imrp,7,Body,Straight
lecture,4.733,OneHanded,imrp,1,Neutral,BackAndForth
bank,4.741,OneHanded,imrp,1,Neutral,None
test,4.741,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
cereal,4.741,OneHanded,i,1,Head,Straight
icecream,4.741,OneHanded,imrp,7,Head,Circular
evaluate,4.76,SymmetricalOrAlternating,imrp,2,Neutral,BackAndForth
beer,4.76,OneHanded,imrp,1,Head,BackAndForth
trouble,4.76,SymmetricalOrAlternating,imrp,1,Head,Circular
lock,4.778,AsymmetricalSameHandshape,imrp,7,Hand,Circular
history,4.778,OneHanded,im,1,Neutral,BackAndForth
amazing,4.778,OneHanded,imrp,5,Head,BackAndForth
possible,4.792,SymmetricalOrAlternating,imrp,7,Neutral,BackAndForth
never,4.8,OneHanded,imrp,1,Neutral,BackAndForth
experience,4.8,OneHanded,imrp,1,Head,BackAndForth
fault,4.8,OneHanded,imrp,4,Body,Curved
north,4.8,OneHanded,im,4,Neutral,Straight
congratulations,4.8,SymmetricalOrAlternating,imrp,5,Neutral,BackAndForth
airplane,4.808,OneHanded,ip,1,Neutral,BackAndForth
guess_2,4.815,OneHanded,imrp,5,Head,Curved
come,4.833,OneHanded,imrp,1,Neutral,Curved
